,Entity,Year,Population,indu_rate
148,Japan,2019.0,126643541.66054828,24.016118783422506
149,Japan,2020.0,126758548.32621631,22.8654525088181
150,Japan,2021.0,125911945.8884508,24.926102842459382
151,Japan,2022.0,125788909.46942014,24.166862467448233
152,Japan,2023.0,125768124.89359954,23.2114202068873
153,Japan,2024.0,125883131.55917358,22.06075393227546
154,Japan,2025.0,125036529.1217165,24.1214042659269
155,Japan,2026.0,124913492.70248078,23.362163890909294
156,Japan,2027.0,124892708.12694284,22.406721630350624
157,Japan,2028.0,125007714.79260063,21.256055355745914
158,Japan,2029.0,124161112.35481787,23.31670568938951
159,Japan,2030.0,124038075.9356025,22.55746531436624
160,Japan,2031.0,124017291.35974582,21.602023053814328
161,Japan,2032.0,124132298.02542436,20.451356779193222
162,Japan,2033.0,123285695.58771619,22.51200711284816
163,Japan,2034.0,123162659.16886398,21.752766737833802
164,Japan,2035.0,123141874.5932072,20.797324477262343
165,Japan,2036.0,123256881.25853783,19.646658202659648
166,Japan,2037.0,122410278.82128698,21.707308536315168
167,Japan,2038.0,122287242.40211911,20.948068161303095
168,Japan,2039.0,122266457.8264602,19.992625900733803
169,Japan,2040.0,122381464.49209633,18.84195962613654
170,Japan,2041.0,121534862.05431497,20.902609959778896
171,Japan,2042.0,121411825.63493474,20.143369584757306
172,Japan,2043.0,121391041.05933714,19.18792732420231
173,Japan,2044.0,121506047.72501458,18.037261049581307
174,Japan,2045.0,120659445.2872235,20.09791138323501
175,Japan,2046.0,120536408.86804819,19.338671008222565
176,Japan,2047.0,120515624.29259583,18.38322874766536
177,Japan,2048.0,120630630.95812806,17.232562473047746
178,Japan,2049.0,119784028.52041611,19.29321280670182
179,Japan,2050.0,119660992.10153092,18.53397243169122
180,South Korea,1991.0,44491050.90485747,35.52709742134277
181,South Korea,1992.0,44701487.14041517,35.00707350606353
182,South Korea,1993.0,44912487.80378079,33.81329479324078
183,South Korea,1994.0,45176652.99510435,32.91086516772006
184,South Korea,1995.0,45412906.14411767,32.19979419430956
185,South Korea,1996.0,45673237.85443534,31.67977029343007
186,South Korea,1997.0,45934281.87417353,30.485991582910376
187,South Korea,1998.0,46247779.223666415,29.5835619751489
188,South Korea,1999.0,46533202.115064956,28.872670941389146
189,South Korea,2000.0,46792970.49152809,28.353754254677668
190,South Korea,2001.0,47053438.4484824,27.647279972386176
191,South Korea,2002.0,47320851.19656531,27.231652972142534
192,South Korea,2003.0,47539904.91381762,27.00740604975753
193,South Korea,2004.0,47722751.06926784,26.974228010697974
194,South Korea,2005.0,47866929.766609244,26.268628999939352
195,South Korea,2006.0,48063983.97393095,25.853045631896915
196,South Korea,2007.0,48232963.75239277,25.628909080416708
197,South Korea,2008.0,48398735.70062755,25.59639288716126
198,South Korea,2009.0,48587924.99925266,25.112971010054217
199,South Korea,2010.0,48841452.55186929,24.919682916068954
200,South Korea,2011.0,49255675.849432915,24.93023488916585
201,South Korea,2012.0,49644244.64591981,25.13223846116626
202,South Korea,2013.0,50033865.90585815,24.662465386342443
203,South Korea,2014.0,50476163.6556143,24.482063245666208
204,South Korea,2015.0,50890386.96084966,24.493019750773477
205,South Korea,2016.0,51278955.75735506,24.695023322772922
206,South Korea,2017.0,51668577.01729702,24.225250247950946
207,South Korea,2018.0,51988943.37755061,25.669192970883977
208,South Korea,2019.0,52315319.54294486,26.439007607098407
209,South Korea,2020.0,52625944.93709928,27.3951705327318
210,South Korea,2021.0,53279028.94191736,24.650200534150265
211,South Korea,2022.0,53623654.48898635,25.23197783248774
212,South Korea,2023.0,53950030.6543666,26.001792468705318
213,South Korea,2024.0,54260656.04851347,26.95795539434872
214,South Korea,2025.0,54913740.053354636,24.21298539574998
215,South Korea,2026.0,55258365.600408226,24.7947626940989
216,South Korea,2027.0,55584741.76580873,25.564577330309188
217,South Korea,2028.0,55895367.15996234,26.52074025594312
218,South Korea,2029.0,56548451.16477959,23.775770257358495
219,South Korea,2030.0,56893076.71183391,24.357547555713996
220,South Korea,2031.0,57219452.87721276,25.127362191921453
221,South Korea,2032.0,57530078.27136585,26.08352511757353
222,South Korea,2033.0,58183162.276189566,23.33855511897572
223,South Korea,2034.0,58527787.82327087,23.920332417314036
224,South Korea,2035.0,58854163.9886613,24.690147053540926
225,South Korea,2036.0,59164789.38279219,25.646309979177715
226,South Korea,2037.0,59817873.38764852,22.90133998057105
227,South Korea,2038.0,60162498.93470757,23.483117278912257
228,South Korea,2039.0,60488875.10009812,24.25293191513689
229,South Korea,2040.0,60799500.494251125,25.209094840762628
230,South Korea,2041.0,61452584.499068365,22.46412484217943
231,South Korea,2042.0,61797210.04611118,23.04590214053564
232,South Korea,2043.0,62123586.21150799,23.815716776742455
