Entity,Code,Year,Fossil fuels (% growth)
Brazil,BRA,2017,1.53898
Brazil,BRA,2018,-4.5586944
Brazil,BRA,2019,-1.0051787
Brazil,BRA,2020,-7.1973267
Brazil,BRA,2021,13.122881
Brazil,BRA,2022,-2.9477
Bulgaria,BGR,1966,7.5520515
Bulgaria,BGR,1967,16.913557
Bulgaria,BGR,1968,13.753426
Bulgaria,BGR,1969,10.762321
Bulgaria,BGR,1970,12.381816
Bulgaria,BGR,1971,4.229307
Bulgaria,BGR,1972,3.0924678
Bulgaria,BGR,1973,3.3700109
Bulgaria,BGR,1974,2.560234
Bulgaria,BGR,1975,8.4608555
Bulgaria,BGR,1976,2.9106379
Bulgaria,BGR,1977,4.2163253
Bulgaria,BGR,1978,4.555893
Bulgaria,BGR,1979,3.4406304
Bulgaria,BGR,1980,5.703163
Bulgaria,BGR,1981,-4.2464676
Bulgaria,BGR,1982,1.7504334
Bulgaria,BGR,1983,-1.0195255
Bulgaria,BGR,1984,-0.9735346
Bulgaria,BGR,1985,-0.2277255
Bulgaria,BGR,1986,3.243351
Bulgaria,BGR,1987,0.3298521
Bulgaria,BGR,1988,-0.7573664
Bulgaria,BGR,1989,0.26317835
Bulgaria,BGR,1990,-7.9547825
Bulgaria,BGR,1991,-21.402752
Bulgaria,BGR,1992,-4.484004
Bulgaria,BGR,1993,4.7840953
Bulgaria,BGR,1994,-5.7045937
Bulgaria,BGR,1995,5.363035
Bulgaria,BGR,1996,-2.3908079
Bulgaria,BGR,1997,-6.3016057
Bulgaria,BGR,1998,-4.2569456
Bulgaria,BGR,1999,-13.631171
Bulgaria,BGR,2000,-3.8273573
Bulgaria,BGR,2001,4.1630626
Bulgaria,BGR,2002,-5.816138
Bulgaria,BGR,2003,8.743954
Bulgaria,BGR,2004,-3.682208
Bulgaria,BGR,2005,6.247401
Bulgaria,BGR,2006,1.6914368
Bulgaria,BGR,2007,5.324948
Bulgaria,BGR,2008,-2.8796732
Bulgaria,BGR,2009,-15.920859
Bulgaria,BGR,2010,2.5048375
Bulgaria,BGR,2011,10.222424
Bulgaria,BGR,2012,-8.188105
Bulgaria,BGR,2013,-9.985614
Bulgaria,BGR,2014,5.707073
Bulgaria,BGR,2015,7.1287036
Bulgaria,BGR,2016,-4.924023
Bulgaria,BGR,2017,5.517173
Bulgaria,BGR,2018,-6.074375
Bulgaria,BGR,2019,-2.2960782
Bulgaria,BGR,2020,-10.857546
Bulgaria,BGR,2021,14.569271
Bulgaria,BGR,2022,7.554853
CIS (EI),,1966,6.116891
CIS (EI),,1967,5.422461
CIS (EI),,1968,3.2294273
CIS (EI),,1969,4.1516423
CIS (EI),,1970,5.062139
CIS (EI),,1971,5.035901
CIS (EI),,1972,5.322647
CIS (EI),,1973,5.1704884
CIS (EI),,1974,5.257857
CIS (EI),,1975,5.1273227
CIS (EI),,1976,3.5476804
CIS (EI),,1977,4.0684104
CIS (EI),,1978,3.9366722
CIS (EI),,1979,2.6610613
CIS (EI),,1980,1.757276
CIS (EI),,1981,1.8977284
CIS (EI),,1982,2.6302457
CIS (EI),,1983,1.8708587
CIS (EI),,1984,2.842462
CIS (EI),,1985,-20.11732
CIS (EI),,1986,2.3268223
